Game_ID,X_Model,Y_Model,Persona_X,Persona_Y,X_Card,X_Action,Y_Card,Y_Action,Winner,X_Net_Payoff,Y_Net_Payoff,Fallback
26,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
27,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
28,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
29,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
30,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
31,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
32,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
33,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
34,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
35,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
36,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
37,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
38,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
39,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
40,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
41,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
42,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
43,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
44,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
45,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
46,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
47,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
48,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
49,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
50,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
51,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
52,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
53,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
54,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
55,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
56,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
57,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,3,X,1,-1,False
58,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
59,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,3,X,1,-1,False
60,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
61,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
62,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
63,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
64,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
65,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
66,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
67,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
68,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
69,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
70,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
71,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
72,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
73,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
74,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
75,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
76,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
77,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
78,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
79,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
80,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
81,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
82,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
83,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
84,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
85,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
86,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
87,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
88,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
89,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
90,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
91,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
92,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
93,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
94,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
95,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
96,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
97,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
98,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
99,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
100,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
101,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
102,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
103,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
104,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
105,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
106,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
107,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
108,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
109,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
110,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
111,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
112,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
113,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
114,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
115,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
116,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
117,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
118,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
119,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
120,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
121,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
122,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
123,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
124,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
125,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
126,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
127,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
128,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
129,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
130,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
131,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
132,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
133,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
134,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
135,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
136,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
137,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
138,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
139,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
140,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
141,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
142,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
143,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
144,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
145,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
146,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
147,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
148,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
149,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
150,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
151,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
152,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
153,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
154,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
155,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
156,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
157,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
158,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
159,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
160,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
161,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
162,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
163,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
164,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
165,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,1,J,,X,1,-1,False
166,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
167,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
168,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
169,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
170,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
171,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
172,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
173,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
174,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
175,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
176,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
177,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
178,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
179,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
180,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
181,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
182,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
183,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,3,X,1,-1,False
184,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
185,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
186,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
187,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
188,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
189,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
190,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
191,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
192,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
193,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
194,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
195,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
196,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
197,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
198,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
199,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
200,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
201,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
202,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
203,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
204,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
205,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
206,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
207,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
208,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
209,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
210,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
211,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
212,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
213,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
214,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
215,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
216,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
217,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
218,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
219,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
220,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
221,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
222,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
223,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
224,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
225,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
226,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
227,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
228,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
229,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
230,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,3,X,1,-1,False
231,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
232,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
233,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,J,4,X,2,-2,False
234,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
235,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,Q,4,Y,-2,2,False
236,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,3,X,1,-1,False
237,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
238,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
239,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,J,4,X,2,-2,False
240,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,Q,,Y,-1,1,False
241,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
242,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
243,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
244,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,K,2,Q,4,X,2,-2,False
245,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,1,K,,Y,-1,1,False
246,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,Q,2,K,4,Y,-2,2,False
247,openai/gpt-5.4-mini,mistral/mistral-small-latest,rationnel,prudent,J,2,K,4,Y,-2,2,False
